freq,unit,coicop,geo\TIME_PERIOD	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 
M,RCH_A,CP011,CZ	6.1 	4.1 	5.4 	6.1 	4.8 	4.3 	2.3 	3.2 	1.9 	: 
M,RCH_A,CP011,DE	3.1 	2.9 	2.8 	1.8 	2.1 	2.4 	2.1 	1.4 	1.4 	: 
M,RCH_A,CP011,DK	4.6 	3.9 	4.5 	4.8 	5.8 	5.2 	4.5 	4.1 	3.0 	: 
M,RCH_A,CP011,EA	2.2 	2.3 	2.4 	2.3 	2.7 	2.6 	2.4 	1.9 	1.8 	: 
M,RCH_A,CP011,EA19	2.1 	2.3 	2.3 	2.3 	2.6 	2.6 	2.4 	1.8 	1.8 	: 
M,RCH_A,CP011,EA20	2.2 	2.3 	2.4 	2.3 	2.7 	2.6 	2.4 	1.9 	1.8 	: 
M,RCH_A,CP011,EE	5.5 	6.3 	5.9 	7.1 	9.0 	8.9 	7.4 	6.1 	6.2 	: 
M,RCH_A,CP011,EEA	3.0 	2.9 	3.1 	3.1 	3.4 	3.4 	3.0 	2.5 	2.3 	: 
M,RCH_A,CP011,EL	2.0 	1.9 	2.9 	2.5 	3.5 	2.4 	1.0 	2.3 	2.7 	: 
M,RCH_A,CP011,ES	2.1 	1.7 	2.1 	2.4 	2.3 	1.8 	2.0 	2.0 	2.5 	: 
M,RCH_A,CP011,EU	3.0 	2.9 	3.1 	3.1 	3.4 	3.4 	3.0 	2.5 	2.2 	: 
M,RCH_A,CP011,EU27_2020	3.0 	2.9 	3.1 	3.1 	3.4 	3.4 	3.0 	2.5 	2.2 	: 
M,RCH_A,CP011,FI	1.4 	1.7 	1.6 	1.2 	1.9 	2.0 	2.1 	1.0 	1.2 	: 
M,RCH_A,CP011,FR	0.5 	0.8 	0.8 	0.7 	1.0 	1.0 	1.1 	0.6 	0.7 	: 
M,RCH_A,CP011,HR	4.4 	3.9 	5.0 	5.0 	6.2 	5.7 	5.0 	3.8 	3.5 	: 
M,RCH_A,CP011,HU	5.8 	2.7 	3.2 	4.0 	3.7 	3.6 	1.8 	0.5 	-0.3 	: 
M,RCH_A,CP011,IE	3.1 	3.1 	4.1 	4.4 	4.6 	5.0 	4.7 	4.6 	4.2 	: 
M,RCH_A,CP011,IS	5.2 	5.8 	6.0 	5.9 	4.8 	5.4 	6.0 	5.9 	6.1 	: 
M,RCH_A,CP011,IT	2.1 	2.8 	2.8 	2.9 	3.6 	3.7 	3.4 	2.0 	1.4 	: 
M,RCH_A,CP011,LT	3.9 	4.4 	3.7 	4.5 	5.2 	5.9 	4.6 	4.9 	4.1 	: 
M,RCH_A,CP011,LU	0.9 	1.7 	1.5 	2.4 	2.6 	2.8 	2.4 	2.3 	2.6 	: 
M,RCH_A,CP011,LV	6.1 	6.5 	6.2 	5.1 	5.5 	6.1 	5.2 	4.0 	3.6 	: 
M,RCH_A,CP011,ME	-0.1 d	1.7 d	3.4 d	4.8 d	5.0 d	5.3 d	6.0 d	5.2 d	2.7 d	: 
M,RCH_A,CP011,MK	2.0 d	1.7 d	4.9 d	6.6 d	7.5 d	6.2 d	2.6 d	5.6 d	3.9 d	: 
M,RCH_A,CP011,MT	2.7 	3.5 	3.8 	3.9 	3.4 	3.7 	3.2 	2.8 	2.9 	: 
M,RCH_A,CP011,NL	3.5 	3.6 	3.7 	3.7 	3.9 	3.5 	3.7 	3.6 	2.8 	: 
M,RCH_A,CP011,NO	8.4 	3.3 	4.9 	4.1 	5.4 	4.5 	5.5 	5.5 	4.3 	: 
M,RCH_A,CP011,PL	6.2 	5.0 	5.0 	4.4 	4.7 	4.7 	3.8 	3.0 	2.3 	: 
M,RCH_A,CP011,PT	1.6 	1.6 	2.5 	3.0 	3.7 	4.0 	3.9 	3.5 	3.5 	: 
M,RCH_A,CP011,RO	4.9 	5.5 	6.7 	7.7 	8.0 	8.9 	7.6 	7.2 	7.3 	: 
M,RCH_A,CP011,RS	4.0 d	4.1 d	4.7 d	6.8 d	7.7 d	7.6 d	0.8 d	-0.6 d	-1.6 d	: 
M,RCH_A,CP011,SE	4.7 	4.3 	3.9 	4.1 	4.1 	3.8 	2.7 	2.7 	2.2 	: 
M,RCH_A,CP011,SI	2.5 	5.1 	4.5 	5.7 	7.0 	7.0 	6.5 	5.9 	4.4 	: 
M,RCH_A,CP011,SK	2.2 	2.6 	2.7 	3.0 	3.1 	2.5 	2.1 	0.0 	-0.7 	: 
M,RCH_A,CP011,TR	36.8 d	35.8 d	32.4 d	29.6 d	27.2 d	33.0 d	35.8 d	34.8 d	26.9 d	: 
M,RCH_A,CP011,XK	6.2 d	6.9 d	8.3 d	8.7 d	9.2 d	9.5 d	8.6 d	8.4 d	9.3 d	: 
M,RCH_A,CP0111,AL	1.0 d	1.4 d	0.9 d	0.4 d	0.2 d	0.3 d	0.4 d	0.5 d	0.2 d	: 
M,RCH_A,CP0111,AT	1.6 	1.7 	1.7 	2.2 	2.5 	3.1 	2.6 	2.7 	2.0 	: 
M,RCH_A,CP0111,BE	2.4 	2.6 	2.5 	2.1 	2.4 	2.0 	2.8 	2.1 	2.0 	: 
M,RCH_A,CP0111,BG	9.8 	10.7 	10.5 	10.5 	10.8 	10.7 	11.3 	10.3 	10.9 	: 
M,RCH_A,CP0111,CH	0.7 	-0.6 	0.0 	-0.7 	-0.8 	-0.5 	-0.8 	-0.7 	-2.1 	: 
M,RCH_A,CP0111,CY	0.1 	-0.5 	0.2 	-1.8 	-1.7 	-1.1 	-1.4 	-2.7 	-1.5 	: 
M,RCH_A,CP0111,CZ	2.1 	1.5 	2.3 	3.0 	2.2 	2.7 	2.1 	3.0 	2.1 	: 
M,RCH_A,CP0111,DE	0.9 	0.8 	0.7 	0.5 	0.7 	1.2 	0.9 	0.6 	0.4 	: 
M,RCH_A,CP0111,DK	1.3 	1.1 	1.5 	1.0 	2.1 	1.2 	2.0 	1.2 	1.2 	: 
M,RCH_A,CP0111,EA	1.0 	1.1 	1.2 	1.1 	1.2 	1.4 	1.4 	1.2 	1.0 	: 
M,RCH_A,CP0111,EA19	1.0 	1.2 	1.2 	1.1 	1.2 	1.4 	1.4 	1.2 	1.0 	: 
M,RCH_A,CP0111,EA20	1.0 	1.1 	1.2 	1.1 	1.2 	1.4 	1.4 	1.2 	1.0 	: 
M,RCH_A,CP0111,EE	3.1 	4.2 	3.1 	3.4 	5.3 	4.2 	4.9 	2.9 	4.2 	: 
M,RCH_A,CP0111,EEA	1.7 	1.8 	1.9 	1.8 	1.9 	2.2 	2.2 	2.0 	1.8 	: 
M,RCH_A,CP0111,EL	1.7 	1.5 	3.1 	2.2 	1.0 	1.5 	1.8 	1.3 	1.9 	: 
M,RCH_A,CP0111,ES	0.8 	0.6 	0.6 	0.9 	0.8 	0.8 	0.8 	0.3 	0.1 	: 
M,RCH_A,CP0111,EU	1.7 	1.8 	1.9 	1.8 	1.9 	2.2 	2.2 	2.0 	1.8 	: 
M,RCH_A,CP0111,EU27_2020	1.7 	1.8 	1.9 	1.8 	1.9 	2.2 	2.2 	2.0 	1.8 	: 
M,RCH_A,CP0111,FI	-0.2 	1.2 	0.2 	0.2 	0.3 	0.1 	0.1 	-0.4 	-0.8 	: 
M,RCH_A,CP0111,FR	0.2 	0.3 	0.5 	0.4 	0.6 	0.7 	0.9 	0.8 	0.7 	: 
M,RCH_A,CP0111,HR	1.3 	0.6 	1.6 	1.1 	1.8 	1.6 	1.4 	1.3 	0.9 	: 
M,RCH_A,CP0111,HU	4.8 	5.2 	5.4 	6.7 	5.6 	5.2 	4.6 	4.6 	5.3 	: 
M,RCH_A,CP0111,IE	2.0 	2.0 	2.5 	2.8 	2.8 	2.9 	2.7 	2.4 	2.4 	: 
M,RCH_A,CP0111,IS	3.2 	3.2 	3.4 	2.7 	2.4 	2.2 	3.1 	3.1 	3.0 	: 
M,RCH_A,CP0111,IT	0.7 	1.3 	1.7 	1.6 	1.8 	1.8 	1.8 	1.7 	1.4 	: 
M,RCH_A,CP0111,LT	2.5 	3.8 	2.5 	3.0 	2.9 	3.1 	0.8 	2.2 	1.5 	: 
M,RCH_A,CP0111,LU	1.1 	1.8 	1.4 	2.2 	2.0 	1.9 	1.9 	2.5 	2.0 	: 
M,RCH_A,CP0111,LV	3.7 	2.9 	3.0 	2.0 	1.5 	1.5 	2.2 	1.8 	2.0 	: 
M,RCH_A,CP0111,ME	0.4 d	1.0 d	0.9 d	2.8 d	3.4 d	3.4 d	4.0 d	4.2 d	3.2 d	: 
M,RCH_A,CP0111,MK	-0.1 d	-1.1 d	1.7 d	2.3 d	2.6 d	2.8 d	3.0 d	5.5 d	3.9 d	: 
M,RCH_A,CP0111,MT	1.8 	1.4 	1.1 	1.0 	0.9 	0.9 	1.1 	0.9 	0.4 	: 
M,RCH_A,CP0111,NL	2.1 	3.1 	2.0 	1.9 	1.9 	2.4 	2.3 	2.0 	0.9 	: 
M,RCH_A,CP0111,NO	6.8 	4.8 	2.9 	2.4 	2.8 	2.1 	2.7 	3.0 	1.8 	: 
M,RCH_A,CP0111,PL	5.8 	3.9 	3.7 	3.4 	2.9 	2.8 	2.5 	2.0 	2.2 	: 
M,RCH_A,CP0111,PT	2.5 	2.3 	3.0 	2.5 	2.6 	2.0 	2.1 	2.8 	2.8 	: 
M,RCH_A,CP0111,RO	3.7 	4.5 	5.0 	5.2 	5.6 	8.4 	8.4 	8.3 	8.6 	: 
M,RCH_A,CP0111,RS	4.9 d	5.0 d	4.7 d	4.6 d	3.9 d	4.2 d	0.7 d	-0.7 d	-1.5 d	: 
M,RCH_A,CP0111,SE	-0.4 	0.4 	0.1 	-0.4 	0.0 	-0.8 	0.1 	0.3 	-0.7 	: 
M,RCH_A,CP0111,SI	1.0 	2.4 	1.7 	2.4 	2.7 	2.6 	2.3 	2.6 	1.9 	: 
M,RCH_A,CP0111,SK	1.3 	1.5 	1.0 	1.6 	0.7 	1.4 	1.6 	0.6 	1.1 	: 
M,RCH_A,CP0111,TR	42.9 d	43.5 d	39.7 d	35.6 d	33.0 d	37.7 d	39.7 d	39.6 d	38.2 d	: 
M,RCH_A,CP0111,XK	2.1 d	1.5 d	4.3 d	4.8 d	5.0 d	4.7 d	3.8 d	5.3 d	5.3 d	: 
M,RCH_A,CP01111,AL	2.2 d	1.0 d	0.8 d	-0.1 d	-1.1 d	0.5 d	1.5 d	1.1 d	0.8 d	: 
M,RCH_A,CP01111,AT	1.7 	4.5 	0.9 	4.6 	0.6 	1.5 	1.3 	1.2 	1.3 	: 
M,RCH_A,CP01111,BE	1.8 	0.0 	4.8 	0.2 	-0.4 	-0.4 	0.0 	-1.9 	0.7 	: 
M,RCH_A,CP01111,BG	2.2 	1.3 	2.0 	1.7 	1.3 	1.4 	2.7 	0.5 	0.9 	: 
M,RCH_A,CP01111,CH	-3.4 	-4.6 	-0.6 	-1.5 	-1.7 	-5.2 	5.0 	-3.5 	1.1 	: 
M,RCH_A,CP01111,CY	-4.8 	-8.3 	-6.9 	-13.2 	-9.8 	-7.8 	-6.8 	-10.8 	-8.2 	: 
M,RCH_A,CP01111,CZ	0.1 	0.5 	-0.8 	0.3 	-0.6 	-1.8 	-1.9 	0.4 	-0.3 	: 
M,RCH_A,CP01111,DE	1.6 	2.2 	2.7 	2.7 	2.7 	3.2 	3.8 	2.5 	1.8 	: 
M,RCH_A,CP01111,DK	6.5 	9.1 	6.4 	4.8 	4.3 	0.7 	2.0 	4.7 	5.8 	: 
M,RCH_A,CP01111,EA	1.3 	1.7 	1.6 	1.7 	1.2 	1.5 	1.2 	0.7 	0.8 	: 
M,RCH_A,CP01111,EA19	1.2 	1.7 	1.6 	1.7 	1.2 	1.5 	1.1 	0.6 	0.8 	: 
M,RCH_A,CP01111,EA20	1.3 	1.7 	1.6 	1.7 	1.2 	1.5 	1.2 	0.7 	0.8 	: 
M,RCH_A,CP01111,EE	5.8 	6.8 	6.5 	4.4 	8.2 	7.0 	5.3 	1.5 	4.5 	: 
M,RCH_A,CP01111,EEA	1.9 	2.0 	1.7 	1.9 	1.4 	1.8 	1.7 	1.1 	1.0 	: 
M,RCH_A,CP01111,EL	0.2 	0.9 	1.6 	0.6 	1.3 	0.9 	0.9 	-0.6 	-0.5 	: 
M,RCH_A,CP01111,ES	3.9 	3.5 	3.4 	3.8 	2.8 	3.0 	2.8 	1.1 	1.3 	: 
M,RCH_A,CP01111,EU	1.8 	2.0 	1.7 	1.8 	1.4 	1.8 	1.6 	1.1 	1.0 	: 
M,RCH_A,CP01111,EU27_2020	1.8 	2.0 	1.7 	1.9 	1.4 	1.8 	1.7 	1.1 	1.0 	: 
M,RCH_A,CP01111,FI	-0.7 	0.2 	-0.7 	-1.2 	-0.5 	-0.4 	-0.8 	-0.8 	-0.9 	: 
M,RCH_A,CP01111,FR	-1.6 	-1.3 	-1.3 	-1.0 	-0.6 	-0.4 	-0.9 	-0.1 	-1.0 	: 
M,RCH_A,CP01111,HR	4.5 	-0.3 	0.9 	5.0 	1.6 	1.6 	3.6 	3.6 	1.5 	: 
M,RCH_A,CP01111,HU	2.2 	3.3 	2.9 	1.9 	1.5 	1.9 	2.3 	1.8 	-0.7 	: 
M,RCH_A,CP01111,IE	-2.1 	-1.8 	-1.6 	-0.2 	0.3 	1.7 	2.3 	5.3 	3.3 	: 
M,RCH_A,CP01111,IS	7.3 	6.3 	4.4 	3.2 	0.8 	0.4 	1.1 	1.1 	0.3 	: 
M,RCH_A,CP01111,IT	2.7 	3.2 	4.3 	4.3 	3.7 	4.1 	3.7 	4.2 	2.9 	: 
M,RCH_A,CP01111,LT	11.4 	10.7 	6.9 	3.6 	6.2 	5.1 	1.9 	2.6 	-1.8 	: 
M,RCH_A,CP01111,LU	0.3 	-1.5 	-0.3 	-1.1 	-3.7 	-2.5 	-3.5 	-4.3 	0.9 	: 
M,RCH_A,CP01111,LV	6.5 	4.4 	5.6 	0.7 	2.1 	1.6 	5.1 	3.4 	2.7 	: 
M,RCH_A,CP01111,ME	-1.3 d	4.5 d	6.0 d	1.6 d	4.1 d	5.7 d	10.8 d	10.6 d	3.7 d	: 
M,RCH_A,CP01111,MK	-4.1 d	-10.1 d	0.5 d	1.6 d	1.7 d	1.2 d	2.2 d	9.2 d	2.1 d	: 
M,RCH_A,CP01111,MT	-3.6 	-4.2 	-5.5 	-4.2 	-5.0 	-4.8 	-4.0 	-4.8 	-4.1 	: 
M,RCH_A,CP01111,NL	-2.1 	2.9 	-6.1 	-1.4 	-2.0 	-0.5 	-3.2 	-6.4 	1.8 	: 
M,RCH_A,CP01111,NO	18.2 	11.7 	9.5 	7.9 	5.2 	4.6 	3.5 	4.1 	3.1 	: 
M,RCH_A,CP01111,PL	6.5 	0.6 	0.7 	0.2 	1.7 	1.8 	0.8 	2.5 	-0.1 	: 
M,RCH_A,CP01111,PT	-1.5 	-2.0 	-3.0 	-3.5 	-5.0 	-6.0 	-6.9 	-6.6 	-5.9 	: 
M,RCH_A,CP01111,RO	3.7 	3.8 	2.9 	3.2 	2.9 	4.9 	5.2 	4.2 	3.4 	: 
M,RCH_A,CP01111,RS	4.3 d	4.4 d	3.1 d	2.5 d	2.0 d	0.5 d	-8.4 d	-10.6 d	-10.6 d	: 
M,RCH_A,CP01111,SE	1.7 	2.0 	-0.5 	1.0 	-0.7 	-2.4 	-0.7 	-4.2 	-2.3 	: 
M,RCH_A,CP01111,SI	-2.2 	3.0 	-1.9 	1.2 	4.2 	-0.2 	0.4 	2.4 	-1.3 	: 
M,RCH_A,CP01111,SK	5.0 	6.6 	5.1 	8.5 	-3.8 	0.3 	2.8 	-2.2 	2.4 	: 
M,RCH_A,CP01111,XK	0.2 d	1.4 d	2.8 d	2.6 d	1.9 d	1.7 d	1.8 d	5.2 d	5.2 d	: 
